algorithm,accesses,N,Bit,Z,PL,fixed_addr,seed,random_vs_random_distance,random_vs_fixed_distance,random1_stash_size,random2_stash_size,fixed_stash_size,elapsed_seconds,random_time_min_ns,random_time_max_ns,random_time_mean_ns,random_time_p50_ns,random_time_p90_ns,random_time_p95_ns,random_time_p99_ns,fixed_time_min_ns,fixed_time_max_ns,fixed_time_mean_ns,fixed_time_p50_ns,fixed_time_p90_ns,fixed_time_p95_ns,fixed_time_p99_ns
alg1,10,128,7,4,10,10,123,0.563636363636,0.563636363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alg1,100,128,7,4,10,10,123,0.197272727273,0.19,0,0,0,0.0015814,0,527900,5216.5,0,0,0,0,0,538100,5381,0,0,0,0
alg1,1000,128,7,4,10,10,123,0.0490909090909,0.0461818181818,0,0,0,0.0182216,0,613000,5988.85,0,0,0,522000,0,629900,6243.9,0,0,0,538100
alg1,10000,128,7,4,10,10,123,0.0176363636364,0.0161818181818,0,0,0,0.19936,0,11328400,6310.78,0,0,0,0,0,2001300,7059.6,0,0,0,0
alg1,100000,128,7,4,10,10,123,0.00530818181818,0.00677636363636,0,0,0,1.69921,0,11328400,5575.817,0,0,0,0,0,2001300,5744.941,0,0,0,0
alg1,1000000,128,7,4,10,10,123,0.00167336363636,0.00390772727273,0,0,0,16.4104,0,11328400,5469.2098,0,0,0,0,0,2003700,5387.03,0,0,0,0
alg2,10,128,7,4,10,10,123,0.472727272727,0.572727272727,0,0,0,0.0010003,0,0,0,0,0,0,0,0,1000300,100030,0,0,1000300,1000300
alg2,100,128,7,4,10,10,123,0.174545454545,0.177272727273,0,0,0,0.008007,0,1003200,20019,0,0,0,1000000,0,1001900,40032,0,0,0,1000500
alg2,1000,128,7,4,10,10,123,0.051,0.0542727272727,0,0,0,0.074176,0,1515200,23316.15,0,0,0,1000500,0,1014800,27543.7,0,0,0,1000500
alg2,10000,128,7,4,10,10,123,0.0170363636364,0.0177181818182,0,0,0,0.700169,0,1813400,24085.76,0,0,0,1002500,0,1561000,21645.32,0,0,0,1000700
alg2,100000,128,7,4,10,10,123,0.00583181818182,0.00658272727273,0,0,0,7.12399,0,1813400,23455.9595,0,0,0,1000400,0,1652200,24247.967,0,0,0,1000400
alg2,1000000,128,7,4,10,10,123,0.00221081818182,0.00294563636364,0,0,0,73.2382,0,2414700,24447.59335,0,0,0,1000500,0,2906600,24181.9023,0,0,0,1000400
