bucket,random_count,random_probability,biased_count,biased_probability,diff
0000000,100000,0.09090909,100000,0.09090909,0.00000000
0000001,20128,0.01829818,19957,0.01814273,-0.00015545
0000010,19948,0.01813455,19929,0.01811727,-0.00001727
0000011,11186,0.01016909,10951,0.00995545,-0.00021364
0000100,20201,0.01836455,19832,0.01802909,-0.00033545
0000101,11181,0.01016455,10901,0.00991000,-0.00025455
0000110,11100,0.01009091,10995,0.00999545,-0.00009545
0000111,7341,0.00667364,7088,0.00644364,-0.00023000
0001000,20025,0.01820455,20053,0.01823000,0.00002545
0001001,11014,0.01001273,11105,0.01009545,0.00008273
0001010,11113,0.01010273,11038,0.01003455,-0.00006818
0001011,7128,0.00648000,7159,0.00650818,0.00002818
0001100,11086,0.01007818,11058,0.01005273,-0.00002545
0001101,7110,0.00646364,7127,0.00647909,0.00001545
0001110,7240,0.00658182,7132,0.00648364,-0.00009818
0001111,6541,0.00594636,6523,0.00593000,-0.00001636
0010000,20123,0.01829364,19905,0.01809545,-0.00019818
0010001,11148,0.01013455,11100,0.01009091,-0.00004364
0010010,11085,0.01007727,11093,0.01008455,0.00000727
0010011,7172,0.00652000,7199,0.00654455,0.00002455
0010100,11281,0.01025545,10953,0.00995727,-0.00029818
0010101,7325,0.00665909,7184,0.00653091,-0.00012818
0010110,7240,0.00658182,7220,0.00656364,-0.00001818
0010111,6581,0.00598273,6633,0.00603000,0.00004727
0011000,11102,0.01009273,10948,0.00995273,-0.00014000
0011001,7022,0.00638364,7205,0.00655000,0.00016636
0011010,7124,0.00647636,7279,0.00661727,0.00014091
0011011,6316,0.00574182,6668,0.00606182,0.00032000
0011100,7251,0.00659182,7129,0.00648091,-0.00011091
0011101,6736,0.00612364,6517,0.00592455,-0.00019909
0011110,6562,0.00596545,6578,0.00598000,0.00001455
0011111,4969,0.00451727,4996,0.00454182,0.00002455
0100000,20137,0.01830636,19915,0.01810455,-0.00020182
0100001,11147,0.01013364,10843,0.00985727,-0.00027636
0100010,10991,0.00999182,10892,0.00990182,-0.00009000
0100011,7309,0.00664455,7101,0.00645545,-0.00018909
0100100,11209,0.01019000,11023,0.01002091,-0.00016909
0100101,7122,0.00647455,7020,0.00638182,-0.00009273
0100110,7280,0.00661818,7136,0.00648727,-0.00013091
0100111,6668,0.00606182,6487,0.00589727,-0.00016455
0101000,10948,0.00995273,11056,0.01005091,0.00009818
0101001,7222,0.00656545,7038,0.00639818,-0.00016727
0101010,7121,0.00647364,7182,0.00652909,0.00005545
0101011,6502,0.00591091,6648,0.00604364,0.00013273
0101100,7234,0.00657636,7119,0.00647182,-0.00010455
0101101,6506,0.00591455,6470,0.00588182,-0.00003273
0101110,6721,0.00611000,6629,0.00602636,-0.00008364
0101111,4996,0.00454182,5016,0.00456000,0.00001818
0110000,11068,0.01006182,10971,0.00997364,-0.00008818
0110001,7247,0.00658818,7124,0.00647636,-0.00011182
0110010,7109,0.00646273,7229,0.00657182,0.00010909
0110011,6481,0.00589182,6695,0.00608636,0.00019455
0110100,7069,0.00642636,7215,0.00655909,0.00013273
0110101,6490,0.00590000,6621,0.00601909,0.00011909
0110110,6475,0.00588636,6663,0.00605727,0.00017091
0110111,4963,0.00451182,4967,0.00451545,0.00000364
0111000,7190,0.00653636,7233,0.00657545,0.00003909
0111001,6626,0.00602364,6447,0.00586091,-0.00016273
0111010,6619,0.00601727,6647,0.00604273,0.00002545
