Z,N,Bit,PL,repeats,fixed_addr,seed,random_vs_random_distance,random_vs_fixed_distance,random1_stash_size,random2_stash_size,fixed_stash_size,elapsed_seconds
1,128,5,10,1000000,10,10,0.000531727272727,0.000843636363636,96,96,96,70.5046
2,128,5,10,1000000,10,10,0.000668363636364,0.00101172727273,64,64,64,56.1814
3,128,5,10,1000000,10,10,0.000812090909091,0.000886272727273,32,32,32,47.0705
4,128,5,10,1000000,10,10,0.00104318181818,0.000857,0,0,0,36.7972
5,128,5,10,1000000,10,10,0.000630909090909,0.000642545454545,0,0,0,36.6429
6,128,5,10,1000000,10,10,0.000929909090909,0.000609545454545,0,0,0,36.4089
7,128,5,10,1000000,10,10,0.000730545454545,0.000806090909091,0,0,0,36.0215
8,128,5,10,1000000,10,10,0.000667909090909,0.000747545454545,0,0,0,36.9779
9,128,5,10,1000000,10,10,0.000881363636364,0.000550363636364,0,0,0,38.1183
10,128,5,10,1000000,10,10,0.0007,0.000654272727273,0,0,0,39.3218
