implementation,client_count,rounds,total_accesses,addr_alpha,op_alpha,total_addresses,mean_h,max_h,h,count,probability
re-mvp-oram,5,1000,5000,1.000000,1.500000,8192,234.0549316406,4096,1,4087,0.4989013672
re-mvp-oram,5,1000,5000,1.000000,1.500000,8192,234.0549316406,4096,2,2001,0.2442626953
re-mvp-oram,5,1000,5000,1.000000,1.500000,8192,234.0549316406,4096,4,1028,0.1254882812
re-mvp-oram,5,1000,5000,1.000000,1.500000,8192,234.0549316406,4096,5,1,0.0001220703
re-mvp-oram,5,1000,5000,1.000000,1.500000,8192,234.0549316406,4096,8,446,0.0544433594
re-mvp-oram,5,1000,5000,1.000000,1.500000,8192,234.0549316406,4096,9,1,0.0001220703
re-mvp-oram,5,1000,5000,1.000000,1.500000,8192,234.0549316406,4096,11,1,0.0001220703
re-mvp-oram,5,1000,5000,1.000000,1.500000,8192,234.0549316406,4096,16,135,0.0164794922
re-mvp-oram,5,1000,5000,1.000000,1.500000,8192,234.0549316406,4096,32,25,0.0030517578
re-mvp-oram,5,1000,5000,1.000000,1.500000,8192,234.0549316406,4096,64,2,0.0002441406
re-mvp-oram,5,1000,5000,1.000000,1.500000,8192,234.0549316406,4096,2048,3,0.0003662109
re-mvp-oram,5,1000,5000,1.000000,1.500000,8192,234.0549316406,4096,4096,462,0.0563964844
