experiment,oram,access,l,leaf_count,addr_count,client_count,warmup_rounds,trials,read_ratio,zipf_alpha,seed,tvd,k,observed_count,observed_probability,ideal_probability,abs_diff
statisticaldistance,re-mvp-oram,zipf,9,512,256,20,30,400,0.900000,1.100000,542,0.1666732982,1,0,0.0000000000,0.0000000000,0.0000000000
statisticaldistance,re-mvp-oram,zipf,9,512,256,20,30,400,0.900000,1.100000,542,0.1666732982,2,0,0.0000000000,0.0000000000,0.0000000000
statisticaldistance,re-mvp-oram,zipf,9,512,256,20,30,400,0.900000,1.100000,542,0.1666732982,3,0,0.0000000000,0.0000000000,0.0000000000
statisticaldistance,re-mvp-oram,zipf,9,512,256,20,30,400,0.900000,1.100000,542,0.1666732982,4,0,0.0000000000,0.0000000000,0.0000000000
statisticaldistance,re-mvp-oram,zipf,9,512,256,20,30,400,0.900000,1.100000,542,0.1666732982,5,0,0.0000000000,0.0000000000,0.0000000000
statisticaldistance,re-mvp-oram,zipf,9,512,256,20,30,400,0.900000,1.100000,542,0.1666732982,6,0,0.0000000000,0.0000000000,0.0000000000
statisticaldistance,re-mvp-oram,zipf,9,512,256,20,30,400,0.900000,1.100000,542,0.1666732982,7,0,0.0000000000,0.0000000000,0.0000000000
statisticaldistance,re-mvp-oram,zipf,9,512,256,20,30,400,0.900000,1.100000,542,0.1666732982,8,0,0.0000000000,0.0000000000,0.0000000000
statisticaldistance,re-mvp-oram,zipf,9,512,256,20,30,400,0.900000,1.100000,542,0.1666732982,9,0,0.0000000000,0.0000000000,0.0000000000
statisticaldistance,re-mvp-oram,zipf,9,512,256,20,30,400,0.900000,1.100000,542,0.1666732982,10,0,0.0000000000,0.0000000000,0.0000000000
statisticaldistance,re-mvp-oram,zipf,9,512,256,20,30,400,0.900000,1.100000,542,0.1666732982,11,0,0.0000000000,0.0000000000,0.0000000000
statisticaldistance,re-mvp-oram,zipf,9,512,256,20,30,400,0.900000,1.100000,542,0.1666732982,12,0,0.0000000000,0.0000000001,0.0000000001
statisticaldistance,re-mvp-oram,zipf,9,512,256,20,30,400,0.900000,1.100000,542,0.1666732982,13,0,0.0000000000,0.0000000057,0.0000000057
statisticaldistance,re-mvp-oram,zipf,9,512,256,20,30,400,0.900000,1.100000,542,0.1666732982,14,1,0.0025000000,0.0000002924,0.0024997076
statisticaldistance,re-mvp-oram,zipf,9,512,256,20,30,400,0.900000,1.100000,542,0.1666732982,15,1,0.0025000000,0.0000104517,0.0024895483
statisticaldistance,re-mvp-oram,zipf,9,512,256,20,30,400,0.900000,1.100000,542,0.1666732982,16,5,0.0125000000,0.0002566761,0.0122433239
statisticaldistance,re-mvp-oram,zipf,9,512,256,20,30,400,0.900000,1.100000,542,0.1666732982,17,11,0.0275000000,0.0042223701,0.0232776299
statisticaldistance,re-mvp-oram,zipf,9,512,256,20,30,400,0.900000,1.100000,542,0.1666732982,18,40,0.1000000000,0.0441960888,0.0558039112
statisticaldistance,re-mvp-oram,zipf,9,512,256,20,30,400,0.900000,1.100000,542,0.1666732982,19,134,0.3350000000,0.2646408226,0.0703591774
statisticaldistance,re-mvp-oram,zipf,9,512,256,20,30,400,0.900000,1.100000,542,0.1666732982,20,208,0.5200000000,0.6866732924,0.1666732924
