implementation,client_count,rounds,total_accesses,addr_alpha,op_alpha,total_addresses,mean_h,max_h,h,count,probability
mvp-oram,5,1000,5000,1.000000,1.500000,8192,8.1065673828,4096,1,4545,0.5548095703
mvp-oram,5,1000,5000,1.000000,1.500000,8192,8.1065673828,4096,2,2288,0.2792968750
mvp-oram,5,1000,5000,1.000000,1.500000,8192,8.1065673828,4096,4,960,0.1171875000
mvp-oram,5,1000,5000,1.000000,1.500000,8192,8.1065673828,4096,8,263,0.0321044922
mvp-oram,5,1000,5000,1.000000,1.500000,8192,8.1065673828,4096,16,79,0.0096435547
mvp-oram,5,1000,5000,1.000000,1.500000,8192,8.1065673828,4096,32,27,0.0032958984
mvp-oram,5,1000,5000,1.000000,1.500000,8192,8.1065673828,4096,64,5,0.0006103516
mvp-oram,5,1000,5000,1.000000,1.500000,8192,8.1065673828,4096,128,8,0.0009765625
mvp-oram,5,1000,5000,1.000000,1.500000,8192,8.1065673828,4096,256,3,0.0003662109
mvp-oram,5,1000,5000,1.000000,1.500000,8192,8.1065673828,4096,512,2,0.0002441406
mvp-oram,5,1000,5000,1.000000,1.500000,8192,8.1065673828,4096,1024,1,0.0001220703
mvp-oram,5,1000,5000,1.000000,1.500000,8192,8.1065673828,4096,4096,11,0.0013427734
